model_name,accuracy,inference_time,model_size_mb,num_parameters
"MoE (4 experts, top-2)",97.72,12.444011211395264,4.679267883300781,1226638
MoE + PTQ,97.72,12.697225093841553,1.1776504516601562,0
Baseline,97.67,8.409347772598267,2.1645889282226562,567434
Baseline + PTQ,97.65,8.838379383087158,0.5437698364257812,0
KD (Baseline Teacher),97.65,9.158981800079346,0.8970108032226562,235146
KD + PTQ,97.65,8.39865493774414,0.22540283203125,0
KD (MoE Teacher),97.51,8.61412525177002,0.8970108032226562,235146
